full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
2 BHK Apartment In Arihant Abode for Rent  In Sector 10,Arihant Abode,24000,1055,2,"Female, Family",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-24000/8aa9a81d9c65b099019c669cdac06b60/detail,Sector 10
2 BHK Apartment In Nimbus Express Park View 2 for Rent  In Chi V,Nimbus Express Park View 2,31000,1114,2,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-31000/8a9f8c838d6cbef0018d6d658a73521b/detail,Chi V
"2 BHK Apartment In Panchsheel Greens, Sector 16 B for Rent  In Panchsheel Greens","Panchsheel Greens, Sector 16 B",20000,975,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-panchsheel-greens-noida-for-rs-20000/8aa9b2a59c1d9ec2019c1db601fa097b/detail,Sector 16
2 BHK Apartment In Ace Divino for Rent  In Sector 1,Supertech Eco Village22 ApartmentsView,26000,1000,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-26000/8a9f8a83902b054501902b359ed115e7/detail,Sector 1
"1 BHK Apartment In Supertech Czar for Rent  In Fh66+x46, Omicron I, Greater Noida, Uttar Pradesh 201310, India",supertech czar,16000,535,1,Male,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-fh66%2bx46-omicron-i-greater-noida-uttar-pradesh-201310-india-greater_noida-for-rs-16000/8a9fa9827b6d5110017b6d963e3e1c12/detail,Omicron I
1 RK Apartment In Ska Metro Ville for Rent  In Eta Ii,Ska Metro Ville,12000,500,1,Male,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-12000/8a9f99868c23271c018c2405c2076fe5/detail,Eta Ii
3 BHK Apartment In Golf Gardenia  for Rent  In   Alpha Ii,Golf Gardenia,38000,1880,3,Male,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in---alpha-ii-greater_noida-for-rs-38000/8a9fbf827ef32ee3017ef33883d302e3/detail,Alpha Ii
"1 RK Apartment In Oasis Venetia Heights, Surajpur for Rent  In Surajpur","Oasis Venetia Heights, Surajpur",6500,850,1,Female,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-surajpur-greater_noida-for-rs-6500/8a9f8c8598dca26f0198dcb17fec0365/detail,Surajpur
"2 BHK Apartment In Supertech Czar Suites, Omicron I for Rent  In Omicron I","Supertech Czar Suites, Omicron I",14000,1295,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-i-greater_noida-for-rs-14000/8a9fa4838bd0c22b018bd1a9eb2f2b97/detail,Omicron I
2 BHK Apartment In Panchsheel Greens 2 for Rent  In Sector 16b,Panchsheel Greens 2,18500,1105,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-18500/8aa997dc9c320e5b019c32482a0a1662/detail,Sector 16b
3 BHK Apartment In Capital Athena for Rent  In Sector 1 Greater Noida West,Capital Athena,15000,1650,3,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater-noida-west-greater_noida-for-rs-15000/8aa9b89d9bb54eac019bb616e20b42a1/detail,Sector 1
"3 BHK Apartment In Unitech Habitat, Sector Pi I & Ii for Rent  In Depot Station","Unitech Habitat, Sector Pi I & II",35000,2100,3,"Family, Bachelor",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-depot-station-greater_noida-for-rs-35000/8aa9b2669c64d4ad019c64e0c928038a/detail,Pi I
3 BHK Apartment In Krystal Supremus for Rent  In Sector 1,Krystal Supremus,30000,1550,3,"Family, Bachelor",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-30000/8a9f878696fbfaf00196fc4ac62d212d/detail,Sector 1
"1 RK Apartment In Paramount Golfmart for Rent  In Paramount Golfmart Zeta I, Greater Noida, Uttar Pradesh 201310",Paramount Golfmart,20000,435,1,"Family, Bachelor",https://www.nobroker.in/property/1-rk-apartment-for-rent-in-paramount-golfmart-zeta-i-greater-noida-uttar-pradesh-201310-greater_noida-for-rs-20000/8aa9b2489bf31b02019bf3261c760177/detail,Zeta I
