full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
2 BHK Apartment In Arihant Abode for Rent  In Sector 10,Arihant Abode,24000,1055,Fully Furnished,2 BHK,"Female, Family",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-24000/8aa9a81d9c65b099019c669cdac06b60/detail
2 BHK Apartment In Nimbus Express Park View 2 for Rent  In Chi V,Nimbus Express Park View 2,31000,1114,Fully Furnished,2 BHK,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-31000/8a9f8c838d6cbef0018d6d658a73521b/detail
"2 BHK Apartment In Panchsheel Greens, Sector 16 B for Rent  In Panchsheel Greens","Panchsheel Greens, Sector 16 B",20000,975,Fully Furnished,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-panchsheel-greens-noida-for-rs-20000/8aa9b2a59c1d9ec2019c1db601fa097b/detail
2 BHK Apartment In Ace Divino for Rent  In Sector 1,Supertech Eco Village22 ApartmentsView,26000,1000,Fully Furnished,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-26000/8a9f8a83902b054501902b359ed115e7/detail
"1 BHK Apartment In Supertech Czar for Rent  In Fh66+x46, Omicron I, Greater Noida, Uttar Pradesh 201310, India",supertech czar,16000,535,Fully Furnished,1 BHK,Male,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-fh66%2bx46-omicron-i-greater-noida-uttar-pradesh-201310-india-greater_noida-for-rs-16000/8a9fa9827b6d5110017b6d963e3e1c12/detail
2 BHK Flat In Saviour Greenarch for Rent  In Ek Murti Chowk,,10000,950,Fully Furnished,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ek-murti-chowk-greater_noida-for-rs-10000/8aa9a3639c4580fa019c45ec38881cd8/detail
3 BHK Flat In 7th Avanue for Rent  In  Sector 4,,12000,1600,Fully Furnished,3 BHK,Male,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--sector-4-noida-for-rs-12000/8a9fb984959836880195984e367d098a/detail
1 RK Apartment In Ska Metro Ville for Rent  In Eta Ii,Ska Metro Ville,12000,500,Fully Furnished,1 RK,Male,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-12000/8a9f99868c23271c018c2405c2076fe5/detail
3 BHK Apartment In Golf Gardenia  for Rent  In   Alpha Ii,Golf Gardenia,38000,1880,Fully Furnished,3 BHK,Male,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in---alpha-ii-greater_noida-for-rs-38000/8a9fbf827ef32ee3017ef33883d302e3/detail
3 BHK Apartment In Ansal Golf Link 1 for Rent  In Ansal Golf Links 1,Ansal golf link 1,14000,3000,Fully Furnished,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-ansal-golf-links-1-greater_noida-for-rs-14000/8aa9955e9c65b0b3019c664b9d3544ac/detail
